Village LG,district_1,taluk_co_1,village__1,survey_n_1,sub_divi_1,final_lat,final_long,timestamp,rabi_crop_classification,final_crop_name,final_crop_stage,image_path,image_timestamp,image_latitude,image_longitude
933535,34,5,102,1342,1B,9.246366636,77.37980268,11-08-2024,Fruits,Coconut,full_growth,fdbc9fbcc153608c-43509-10631721293620,08-11-2024 00:00,9.253688,77.393118
933535,34,5,102,1342,2B,9.246353673,77.38056365,11-08-2024,Fruits,Coconut,full_growth,fdbc9fbcc153608c-43509-10631721293620,08-11-2024 00:00,9.253688,77.393118
933535,34,5,102,1346,3,9.244655659,77.38041976,11-09-2024,Fruits,Coconut,vegetation,f5e7c03e3a599db9-27932-11351463034370,09-11-2024 00:00,9.267173,77.386958
933535,34,5,102,1346,5A,9.244380549,77.38040561,11-09-2024,Fruits,Coconut,vegetation,f5e7c03e3a599db9-27932-11351463034370,09-11-2024 00:00,9.267173,77.386958
933535,34,5,102,1482,1,9.258870035,77.40559725,11-08-2024,Fruits,Coconut,full_growth,f5e7c03e3a599db9-43509-10618895866215,08-11-2024 00:00,9.260764,77.395583
933535,34,5,102,529,1C,9.270833118,77.40969136,11-09-2024,Fruits,Coconut,full_growth,38edf90d500fd8e9-43511-11367621961332,09-11-2024 00:00,9.269686,77.383696
933535,34,5,102,529,1D,9.270622143,77.409613,11-09-2024,Fruits,Coconut,full_growth,38edf90d500fd8e9-43511-11367621961332,09-11-2024 00:00,9.269686,77.383696
933535,34,5,102,529,1M,9.270290743,77.41036166,11-09-2024,Fruits,Coconut,full_growth,38edf90d500fd8e9-43511-11367621961332,09-11-2024 00:00,9.269686,77.383696
933535,34,5,102,529,3A,9.270802899,77.40941389,11-09-2024,Fruits,Coconut,full_growth,38edf90d500fd8e9-43511-11367621961332,09-11-2024 00:00,9.269686,77.383696
933535,34,5,102,529,3B,9.270267674,77.40942302,11-09-2024,Fruits,Coconut,full_growth,38edf90d500fd8e9-43511-11367621961332,09-11-2024 00:00,9.269686,77.383696
933535,34,5,102,529,3C,9.269966473,77.4094035,11-09-2024,Fruits,Coconut,full_growth,38edf90d500fd8e9-43511-11367621961332,09-11-2024 00:00,9.269686,77.383696
933535,34,5,102,529,3B,9.270267674,77.40942302,11-09-2024,Fruits,Coconut,full_growth,38edf90d500fd8e9-43511-11367621961332,09-11-2024 00:00,9.269686,77.383696
933535,34,5,102,529,3C,9.269966473,77.4094035,11-09-2024,Fruits,Coconut,full_growth,38edf90d500fd8e9-43511-11367621961332,09-11-2024 00:00,9.269686,77.383696
933535,34,5,102,584,1,9.25392752,77.40430524,11-08-2024,Fruits,Coconut,full_growth,31fba71e860bc94a-43511-10626757614639,08-11-2024 00:00,9.253947,77.403538
933535,34,5,102,717,1,9.243804423,77.40645519,11-08-2024,Fruits,Coconut,full_growth,f5e7c03e3a599db9-43509-10629909517796,08-11-2024 00:00,9.260712,77.396209
933535,34,5,102,717,4,9.243836118,77.40740625,11-08-2024,Fruits,Coconut,full_growth,f5e7c03e3a599db9-43509-10629909517796,08-11-2024 00:00,9.260712,77.396209
933535,34,5,102,717,5,9.243017392,77.407401,11-08-2024,Fruits,Coconut,full_growth,f5e7c03e3a599db9-43509-10629909517796,08-11-2024 00:00,9.260712,77.396209
933535,34,5,102,717,2A,9.243190169,77.40610777,11-08-2024,Fruits,Coconut,full_growth,f5e7c03e3a599db9-43509-10629909517796,08-11-2024 00:00,9.260712,77.396209
933535,34,5,102,717,2B,9.243175215,77.40644477,11-08-2024,Fruits,Coconut,full_growth,f5e7c03e3a599db9-43509-10629909517796,08-11-2024 00:00,9.260712,77.396209
933535,34,5,102,717,2C,9.243188109,77.40675846,11-08-2024,Fruits,Coconut,full_growth,f5e7c03e3a599db9-43509-10629909517796,08-11-2024 00:00,9.260712,77.396209
933535,34,5,102,717,3B,9.24287134,77.40650025,11-08-2024,Fruits,Coconut,full_growth,f5e7c03e3a599db9-43509-10629909517796,08-11-2024 00:00,9.260712,77.396209
933535,34,5,102,717,3C,9.242853112,77.40679084,11-08-2024,Fruits,Coconut,full_growth,f5e7c03e3a599db9-43509-10629909517796,08-11-2024 00:00,9.260712,77.396209
933535,34,5,102,719,1,9.244308032,77.40627159,11-08-2024,Fruits,Coconut,full_growth,f5e7c03e3a599db9-43509-10629496487248,08-11-2024 00:00,9.260712,77.39621
933536,34,5,121,740,16,9.342415084,77.43570413,11-11-2024,Fruits,Coconut,full_growth,e5dbf0f6db806bfd-26591-13057668473798,11-11-2024 00:00,9.333742,77.444505
933536,34,5,121,740,17,9.342324834,77.43581385,11-11-2024,Fruits,Coconut,full_growth,e5dbf0f6db806bfd-26591-13057668473798,11-11-2024 00:00,9.333742,77.444505
933536,34,5,121,759,1,9.337372371,77.44184254,11-11-2024,Fruits,Coconut,full_growth,e5dbf0f6db806bfd-26591-13061856882270,11-11-2024 00:00,9.333747,77.444517
933536,34,5,121,759,3,9.337313078,77.44257116,11-11-2024,Fruits,Coconut,full_growth,e5dbf0f6db806bfd-26591-13061856882270,11-11-2024 00:00,9.333747,77.444517
933536,34,5,121,759,4,9.337408211,77.44307827,11-11-2024,Fruits,Coconut,full_growth,e5dbf0f6db806bfd-26591-13061856882270,11-11-2024 00:00,9.333747,77.444517
933536,34,5,121,777,1A,9.335679663,77.44803417,11-11-2024,Fruits,Coconut,full_growth,e5dbf0f6db806bfd-26591-13048641209247,11-11-2024 00:00,9.333733,77.444522
933536,34,5,121,777,1B1,9.335606615,77.44772037,11-11-2024,Fruits,Coconut,full_growth,e5dbf0f6db806bfd-26591-13048641209247,11-11-2024 00:00,9.333733,77.444522
933536,34,5,121,777,2,9.334793794,77.44821244,11-11-2024,Fruits,Coconut,full_growth,e5dbf0f6db806bfd-26591-13048641209247,11-11-2024 00:00,9.333733,77.444522
933536,34,5,121,777,1B2,9.335256894,77.44820287,11-11-2024,Fruits,Coconut,full_growth,e5dbf0f6db806bfd-26591-13048641209247,11-11-2024 00:00,9.333733,77.444522
933536,34,5,121,882,1,9.332031774,77.45744746,11-11-2024,Fruits,Coconut,full_growth,8162e19f01ce9d4a-43629-13057272797792,11-11-2024 00:00,9.333698,77.44453
933536,34,5,121,882,2,9.331627816,77.45864701,11-11-2024,Fruits,Coconut,full_growth,8162e19f01ce9d4a-43629-13057272797792,11-11-2024 00:00,9.333698,77.44453
933536,34,5,121,882,3A,9.331695527,77.45886835,11-11-2024,Fruits,Coconut,full_growth,8162e19f01ce9d4a-43629-13057272797792,11-11-2024 00:00,9.333698,77.44453
933536,34,5,121,882,4A,9.331669704,77.46044727,11-11-2024,Fruits,Coconut,full_growth,8162e19f01ce9d4a-43629-13057272797792,11-11-2024 00:00,9.333698,77.44453
933536,34,5,121,882,4B,9.331460084,77.46068481,11-11-2024,Fruits,Coconut,full_growth,8162e19f01ce9d4a-43629-13057272797792,11-11-2024 00:00,9.333698,77.44453
933536,34,5,121,909,2C,9.326242333,77.46709527,11-11-2024,Fruits,Coconut,full_growth,c8d88fa1589b631f-43638-13134825232971,11-11-2024 00:00,9.333268,77.45134
933536,34,5,121,909,4C,9.325789266,77.46707947,11-11-2024,Fruits,Coconut,full_growth,c8d88fa1589b631f-43638-13134825232971,11-11-2024 00:00,9.333268,77.45134
933536,34,5,121,909,7B,9.325503257,77.46888288,11-11-2024,Fruits,Coconut,full_growth,c8d88fa1589b631f-43638-13134825232971,11-11-2024 00:00,9.333268,77.45134
933538,34,5,122,26,4A,9.34808629,77.39744537,11-09-2024,Fruits,Coconut,full_growth,bfaa8faee0749c53-26933-11486174899300,09-11-2024 00:00,9.326092,77.423166
933538,34,5,122,26,4B,9.347945323,77.398065,11-09-2024,Fruits,Coconut,full_growth,bfaa8faee0749c53-26933-11486174899300,09-11-2024 00:00,9.326092,77.423166
933538,34,5,122,353,1,9.344403884,77.41045045,11-11-2024,Fruits,Coconut,full_growth,1f8e5000210f53b6-53543-13077781079224,11-11-2024 00:00,9.345772,77.414811
933538,34,5,122,353,2,9.343953668,77.40995995,11-11-2024,Fruits,Coconut,full_growth,1f8e5000210f53b6-53543-13077781079224,11-11-2024 00:00,9.345772,77.414811
933538,34,5,122,353,3,9.343887326,77.41016458,11-11-2024,Fruits,Coconut,full_growth,1f8e5000210f53b6-53543-13077781079224,11-11-2024 00:00,9.345772,77.414811
933538,34,5,122,353,4,9.343845754,77.41034592,11-11-2024,Fruits,Coconut,full_growth,1f8e5000210f53b6-53543-13077781079224,11-11-2024 00:00,9.345772,77.414811
933538,34,5,122,353,5,9.343807768,77.41062632,11-11-2024,Fruits,Coconut,full_growth,1f8e5000210f53b6-53543-13077781079224,11-11-2024 00:00,9.345772,77.414811
933538,34,5,122,353,6,9.343876347,77.41154212,11-11-2024,Fruits,Coconut,full_growth,1f8e5000210f53b6-53543-13077781079224,11-11-2024 00:00,9.345772,77.414811
933538,34,5,122,373,2,9.33949726,77.41913089,11-09-2024,Fruits,Coconut,full_growth,2fec8fab4a7055ce-28192-11440596529065,09-11-2024 00:00,9.340187,77.419605
933538,34,5,122,373,4,9.339855978,77.41957863,11-09-2024,Fruits,Coconut,full_growth,2fec8fab4a7055ce-28192-11440596529065,09-11-2024 00:00,9.340187,77.419605
933538,34,5,122,373,5,9.3393727,77.41960171,11-09-2024,Fruits,Coconut,full_growth,2fec8fab4a7055ce-28192-11440596529065,09-11-2024 00:00,9.340187,77.419605
933538,34,5,122,373,6,9.339053961,77.41965337,11-09-2024,Fruits,Coconut,full_growth,2fec8fab4a7055ce-28192-11440596529065,09-11-2024 00:00,9.340187,77.419605
933538,34,5,122,373,7,9.339988335,77.41912157,11-09-2024,Fruits,Coconut,full_growth,2fec8fab4a7055ce-28192-11440596529065,09-11-2024 00:00,9.340187,77.419605
933538,34,5,122,384,1A,9.339574228,77.42100605,11-09-2024,Fruits,Coconut,full_growth,2fec8fab4a7055ce-28192-11432380492901,09-11-2024 00:00,9.33974,77.421915
933538,34,5,122,384,1B,9.33931723,77.42114393,11-09-2024,Fruits,Coconut,full_growth,2fec8fab4a7055ce-28192-11432380492901,09-11-2024 00:00,9.33974,77.421915
933538,34,5,122,384,5,9.339300426,77.42159454,11-09-2024,Fruits,Coconut,full_growth,2fec8fab4a7055ce-28192-11432380492901,09-11-2024 00:00,9.33974,77.421915
